title,description,cost,license,app_type,origin,platform,supported_languages
smry,"Access instant summaries and bypass paywalls effortlessly by simply adding ""smry.ai/<url>"" before the desired URL. WebBrowsers",Freemium,Open Source,N/A,N/A,Online,"English, Spanish, Chinese"
Journaler,Journaling application for elementary OS. Applicationsoftware reviews,Free,Open Source ( GPL-3.0 ),Journaling App,N/A,Linux,English
Stable Video Diffusion,"Open source generative AI video model enabling transformation of text and image prompts into vivid, cinematic scenes at customizable frame rates with 14 or 25 frame outputs, suitable for media, entertainment, education, and marketing content creation.",Free Personal,Open Source ( MIT ),AI Video Generator,United Kingdom,Online,English
Hotlist,Manage your daily todos straight from your Mac menu bar. MacOS,Free,Proprietary,"Todo List Manager, Task Management Tool",N/A,Mac,English
Phiola,"phiola is a fast audio player, recorder, converter for Windows, Linux & Android. Its low CPU consumption conserves the notebook/phone battery. You can issue commands to phiola via its CLI, TUI, GUI, system pipe and SDK interfaces. Linux& Unix",Free,Open Source ( BSD-2-Clause ),Audio Player,Russia,"Windows, Linux, Android, F-Droid",English
RustGPT,"RustGPT is my latest experiment in cloning the abilities of OpenAI's ChatGPT. It represents the fourth iteration in a series of clones, each built with different tech stacks to evaluate their functionality in creating a ChatGPT-like application. Applicationsoftware reviews",Free,Open Source ( AGPL-3.0 ),"AI Chatbot, AI Writing Tool",United States,"Mac, Windows, Linux, BSD",English
Krita AI Diffusion,"Streamlined interface for generating images with AI in Krita. Inpaint and outpaint with optional text prompt, no tweaking required.",Free,Open Source ( GPL-3.0 ),AI Image Generator,International,"Windows, Mac, Linux, Krita",English
Panoramax,Panoramax is a digital resource for sharing and exploiting field photos. Anyone can take photographs of places visible from the public highway and contribute them to the Panoramax database. This data is then freely accessible and reusable by all.,Free,Open Source ( MIT ),N/A,"France, EU","Linux, Online, Self-Hosted","English, French"
ToDoBar - Tasks on your Menu Bar,ToDoBar is a minimalistic yet powerful to-do list app for your Mac menu bar. It lets you create tasks effortlessly and reminds you to complete them before their deadline.,Pay once,Proprietary,Todo List Manager,"Ireland, EU",Mac,"English, Chinese, German, Russian, Spanish"
Scribble Journey,Scribble Journey provides guided activities that focus on drawing paired with journaling for people who want to dive deeper into their emotions.,Freemium,Proprietary,Journaling App,N/A,iPhone,English
Cashew,"Tracks expenses, budgets, and subscriptions with secure offline access, privacy-focused usage, CSV data import, visual analytics, multi-currency conversion, recurring billing, goal tracking, multiple accounts, cloud sync, fast entries, and zero advertising.",Freemium (Pay once or Subscription),Open Source ( GPL-3.0 ),"Budget Manager, Personal Finance Tool",Canada,"Online, Android, iPhone, iPad",English
Otter - Bookmark Manager,"Otter is a self-hosted bookmark manager built with Next.js and Supabase, featuring Mastodon integration. It offers private bookmarking with search, tagging, and filtering capabilities, dark/light colour modes, and a Raycast extension for easy bookmark management.",Free,Open Source,"Bookmark Manager, Read It Later Tool",N/A,"Online, Self-Hosted",English
OSINT-tool,"OSINT tool is a browser extension and web application built for researchers, investigators, journalists and intelligence analysts. Our extension gives you access to a suite of OSINT utilities directly on any webpage you visit. WebBrowsers",Subscription,Proprietary,N/A,South Africa,"Google Chrome, Online",English
Windows App,"Windows App is your gateway to Azure Virtual Desktop, Windows 365, Microsoft Dev Box, Remote Desktop Services, and remote PCs, securely connecting you to Windows devices and apps. MobileApps & Add-Ons",Paid,Proprietary,Remote Desktop Tool,United States,"Mac, Windows, Online, iPhone, iPad, Android  ","English, Czech, Danish, Dutch, Finnish, French, German, Hungarian, Indonesian, Italian, Japanese, Korean, Norwegian Bokmål, Polish, Portuguese, Russian, Chinese, Spanish, Swedish, Turkish, ▾"
PomoTimer.io,Are you tired of feeling overwhelmed by your never-ending to-do list? Do you find it challenging to stay focused and maintain your productivity throughout the day? PomoTimer is here to help you take control of your time and supercharge your productivity!,Free,Proprietary,"Pomodoro Timer, Time Tracking Tool","Belgium, EU",Online,English
BatteryBoi,The battery app your Mac's been dreaming about behind your back. MobileApps & Add-Ons,Free,Open Source ( GPL-3.0 ),Battery Monitor,N/A,Mac,English
Riffusion,This AI will literally sing whatever you type.,Free,Proprietary,"AI Music Generator, Music Production App",N/A,Online,English
HighContext,"Lightweight, scalable, and easy-to-use API for hosting for your JSON blobs — so that you can get back to building your apps. Software",Freemium (Pay once),Proprietary,N/A,N/A,Software as a Service (SaaS),English
MicroCloud,"Straightforward and lightweight, but featureful. MicroClouds serve compute near consumers, wherever they may be.",Subscription,Open Source ( AGPL-3.0 ),Cloud Hosting Service,United Kingdom,Self-Hosted,English
Slap screenshots,"Share awesome screenshots, in seconds.",Free,Proprietary,Screenshot Capture Tool,N/A,Google Chrome,English
Suggest.gg,"Keep track of ideas and viewer suggestions, show off what you're working on, and easily get feedback from your audience.",Freemium (Subscription),Proprietary,N/A,N/A,Online,English
SideHN,"The web, with a side of HackerNews. Shows a sidebar with HN comments if the link was opened from HN.",Free,Open Source ( GPL-3.0 ),Hacker News Client,"Romania, EU","Google Chrome, Firefox",English
Twogether AI,"Twogether is a unique product that combines the power of artificial intelligence with photography to create compelling images featuring any two individuals, whether they're real or imagined.",Pay once,Proprietary,AI Image Generator,N/A,Online,English
Corgi AI,We started the Corgi project as a hobby to help people overcome language barriers and make better use of their time online.,Freemium (Subscription),Proprietary,Language Learning Tool,N/A,Google Chrome,"English, Spanish, French, Italian, German, Vietnamese, Hindi"
Flyscrape,"Flyscrape is a standalone and scriptable web scraper, combining the speed of Go with the flexibility of JavaScript. — Focus on data extraction rather than request juggling.",Free,Open Source ( MPL-2.0 ),Web Scraping Tool,"Germany, EU","Mac, Windows, Linux",English
Orgzly Revived,Outliner for taking notes and managing to-do lists.,Free,Open Source ( GPL-3.0 ),"Note-taking Tool, Todo List Manager",International,"Android, F-Droid",English
Statused,"Streamline your app's release cycle! Statused delivers real-time Slack notifications for Apple & Google review statuses, TestFlight readiness, and app processing updates. Who It’s For: Statused is crafted for app developers, project managers, and QA teams who crave... Mobileapp discovery",Subscription,Proprietary,N/A,N/A,"Online, Slack",English
Biblioteca,"Biblioteca is a software that provides a platform for users to access and read GNOME documentation. The software includes a range of features that enhance its functionality and user experience. These features include offline documentation, which allows users to access the... Software",Free,Open Source ( GPL-3.0 ),Documentation Browser,N/A,"Linux, Flathub",English
Cozy FM,"A free, full-featured podcast player with seamless device synchronization, episode downloads, offline mode and more. Freeware& Shareware",Free,Proprietary,"Podcast Player, Podcast Manager",N/A,"Mac, Online, Microsoft Edge, Google Chrome, Microsoft Edge Add-ons, Firefox, Windows",English
GitLab Duo,"GitLab Duo is a software suite that leverages Artificial Intelligence (AI) to optimize various aspects of your workflows. This includes enhancing testing procedures, bolstering security measures, and improving documentation processes. Newsoftware releases",Subscription,Proprietary,AI Coding Assistant,United States,"Software as a Service (SaaS), Online, GitLab",English
Photoaster,"Photo editor offering 60+ unique color-graded filters, quick filter and effect application, features like Bloom, vignette, and pop, ten diverse grain finishes including film and CRT, exposure and contrast adjustment, and real-time creative photo transformations. Software",Free,Proprietary,Photo Editor,N/A,"iPhone, iPad",English
Relay.app,"Relay.app is a modern, easy-to-use automation tool that offers deep integrations, AI-powered automations, and human-in-the-loop control. MobileApps & Add-Ons",Freemium (Subscription),Proprietary,"Task Automation App, Workflow Automation Tool",United States,"Online, Software as a Service (SaaS)",English
WireHub,"WireHub is a tool that helps you generate WireGuard configurations and securely share them with your friends, family, and team-mates.",Free,Proprietary,N/A,N/A,Online,English
Scorecard.gg,Scorecard.gg is a web-based service that provides scorecards for various board games. It offers a hassle-free experience as it does not require users to register an account to access its features. This makes the process of tracking scores quick and convenient for users...,Free,Proprietary,N/A,United States,Online,English
Sutro,"AI powered app creation at your fingertips. Create production-ready, highly polished apps instantly with no coding required. Software",Freemium,Proprietary,"Application Builder, Mobile App Builder",N/A,Online,English
Rebrand,"Rebrand is a platform that showcases new design systems, visual identity transformations, and rebrand videos. It was created by designers who appreciate the evolution of a brand and the complex design systems that revolutionize visual communication.",Freemium (Subscription),Proprietary,Graphic Design Tool,N/A,Online,English
OpenHIIT,"Enhance your daily routines with OpenHIIT, the versatile open-source interval timer app. Tailored for various activities, including but not limited to High-Intensity Interval Training (HIIT), OpenHIIT is a dynamic tool designed to optimize your tasks and foster a collaborative... Applicationsoftware reviews",Free,Open Source ( MIT ),N/A,United States,"Android, iPhone, iPad",English
JustNotes App,"JustNotes is simple android app for taking notes, like there have been tens of thousands before. App uses Room database. Mobileapp discovery",Free,Open Source ( MIT ),"Note-taking Tool, Todo List Manager",N/A,Android,English
gopher64,gopher64 is an N64 emulator written in Rust.,Free,Open Source ( GPL-3.0 ),Game Emulator,N/A,"Windows, Linux, Flathub",English
Kana,Hone your Japanese skills by matching romanized characters to their correct hiragana and katakana counterparts.,Free,Open Source,Language Learning Tool,N/A,"Linux, Flathub",English
WolfSnap,"WolfSnap is a digital tool that simplifies scanning and digitizing receipts, turning your paper records into a digital archive. Simply snap a photo of your receipt, and WolfSnap will import the shop and total information, even attempting to identify the store logo.",Free,Proprietary,N/A,N/A,Android,English
SmartyTrade,"SmartyTrade is an online trading platform is an online trading broker that offers traders an extensive range of options. It offers traders the flexibility to choose from three account types: Gold, Silver, and Bronze, each tailored to different trading needs.",Freemium (Pay once),Proprietary,Stock Trading App,N/A,Online,English
ChatHelp.ai,"ChatHelp.ai - AI-powered Business, Work, Study Assistant & Website Chat Widget.",Freemium (Subscription),Proprietary,N/A,N/A,"Online, Software as a Service (SaaS)",English
Micleo,Micleo is a secure and scalable solution for businesses looking to quickly implement a SaaS / CRM without the technical challenges of traditional development.,Subscription,Proprietary,CRM System,N/A,Online,"English, French"
Cloud TTS,"CloudTTS is a straightforward text-to-speech application. Simply type in or paste the text you'd like to hear, and it reads it back to you.",Free,Proprietary,Text to Speech Service,N/A,Online,English
Norton Driver Updater,"Norton Driver Updater is a software tool that improves the performance and stability of your Windows PC. It keeps your drivers up to date, resulting in faster browsing, fewer crashes, and better audio and graphics. Newsoftware releases",Pay once,Proprietary,Driver Updater,United States,Windows,English
Grok,"Grok is an AI-powered assistant, developed by xAI, designed to be maximally truthful, useful, and curious. Get answers to any question, generate striking images, and upload pictures to gain a deeper understanding of your world. With Grok, the universe is in your hands! MachineLearning & Artificial Intelligence",Freemium (Subscription),Proprietary ( Apache-2.0 ),"AI Chatbot, Large Language Model (LLM) Tool",United States,"Online, Android, iPhone, Android Tablet, iPad, X","English, Arabic, French, German, Indonesian, Japanese, Korean, Portuguese, Chinese, Spanish, Thai, Turkish, Persian, Kannada, Marathi, Gujarati, Tamil, Telugu, Malay, Malayalam, Afrikaans, Assamese, Bengali, Hindi, Finnish, Croatian, Czech, Danish, Greek, Hebrew, Zulu, Vietnamese, Urdu, Dutch, Esperanto, Bulgarian, Swedish, Azerbaijani, Italian, Kashmiri, Mongolian, Javanese, ▾"
Wondershare Presentory,"Smarter Presentation, Easier Connection. AI-Powered Video Presentation Maker empowers everyone to create impactful presentations that are easier to remember.",Freemium (Subscription),Proprietary,"Presentation Maker, Slideshow Maker",China,"Windows, Online",English
Cicada.sh,"Cicada.sh is a free and open-source platform designed to facilitate the execution of software automation workflows. This platform is unique in its approach to infrastructure coding, utilizing a programming language specifically constructed for automation workflows. Freeonline tools",Freemium (Subscription),Open Source ( AGPL-3.0 ),CI/CD System,United States,"Self-Hosted, Software as a Service (SaaS)",English
Ladder,Ladder is a web proxy to help bypass paywalls. This is a self-hosted version of 1ft.io and 12ft.io. It is inspired by 13ft.,Free,Open Source ( GPL-3.0 ),Paywall Remover,N/A,"Self-Hosted, Docker",English
GPTBots.ai,"GPTBOTS.ai enables developers to seamlessly integrate LLM with their own data and application services, and easily build AI services.The platform comes from Aurora Mobile (NASDAQ: JG). Software",Subscription,Proprietary,N/A,United Kingdom,Online,"English, Chinese, Japanese"
Brave Leo,"Leo is an AI-powered intelligent assistant, built right into the browser. Leo can answer questions, help accomplish tasks, and more. WebBrowsers",Freemium (Subscription),Proprietary,"AI Chatbot, Large Language Model (LLM) Tool",United States,"Brave, Android  , Android Tablet  , iPhone  , iPad  ",English
iVentoy,"With iVentoy you can boot and install OS on multiple machines at the same time through the network. iVentoy is extremely easy to use, without complicated configuration, just put the ISO file in the specified location and select PXE boot in the client machine. OperatingSystems",Freemium (Pay once),Proprietary,Bootable USB Creator,China,"Windows, Linux",English
AiPPT,"Automates transforming topics and documents into presentation slides using AI-generated content, modern templates, web-based interface, smart transitions, import support, and easy export to PowerPoint or Google Slides for fast results across various use cases.",Freemium (Pay once or Subscription),Proprietary,Presentation Maker,United States,Online,English
Stashit,"Stashit offers a cloud storage solution with an emphasis on privacy while providing a seamless way to manage your emails, attachments, images, and files. Taking a unique approach to cloud storage, Stashit transforms the mundane task of digital organization into an effortless...",Subscription,Proprietary,Cloud Storage Service,United States,Online,English
PortraitPhoto.ai,Personal professional AI photography.,Pay once,Proprietary,N/A,N/A,Online,English
Mangapin,Supercharge your favorite manga sites.,Freemium (Subscription),Open Source,"Anime / Manga Tracking App, Comic and Manga Reader",N/A,"Android, iPhone, Android Tablet, iPad, Google Chrome",English
Copresence,Copresence lets you create a digital avatar using your iPhone's camera. The app uses AI technology to make an avatar that mirrors your facial expressions and emotions. Software,Free,Proprietary,3D Scanner,N/A,iPhone,"English, German"
Tipsiti,"Tipsiti.com provides curated travel tips by locals for trip planning, travel advisors, and hospitality businesses.",Free,Proprietary,"Travel Guide, Travel Planner",N/A,"Online  , Software as a Service (SaaS)  ",English
AttachDoc,"AttachDoc simplifies document storage, sharing, and analytics. From secure file storage to real-time insights, it's the all-in-one solution for efficient document management.",Subscription,Proprietary,N/A,N/A,Online,English
ASINSIGHT,"ASINSIGHT is a keyword tool for Amazon sellers. It provides ASIN and keyword research, hourly keyword tracking, and data insights. It helps sellers understand their product's traffic sources and trends, and improves keyword rankings.",Subscription,Proprietary,N/A,N/A,"Online, Google Chrome, Software as a Service (SaaS)",English
CoinWatch,"CoinWatch is a cryptocurrency app providing real-time coin prices, price histories, and market data, built using the latest Android architecture components. Applicationsoftware reviews",Free,Open Source ( Apache-2.0 ),Crypto Portfolio Tracker,International,Android,English
Twine - RSS Reader,Twine is a beautifully crafted RSS reader app. Access all of your favorite feeds in a single app. Mobileapp discovery,Freemium (Subscription),Open Source ( GPL-3.0 ),"RSS Reader, News Reader",India,"Android, iPhone, Android Tablet, iPad","English, French, German, Hindi, Russian, Chinese, Turkish"
Soul Searching,Soul Searching is an offline music application for Android 8 and above. It's a rework of the native mobile application Sweet Music using Jetpack Compose. Software,Free,Open Source ( GPL-3.0 ),Audio Player,N/A,"Android, F-Droid",English
Apitally,"Apitally is a simple API monitoring & analytics tool that makes it easy to understand API usage, monitor performance, and troubleshoot issues.",Subscription,Open Source ( MIT ),N/A,Australia,"Online, Software as a Service (SaaS)",English
Insomnium,"Insomnium is a fast local API testing tool that is privacy-focused and 100% local. For testing GraphQL, REST, WebSockets and gRPC. This is a fork of Kong/insomnia.",Free,Open Source ( MIT ),"API Client, HTTP Client",International,"Mac, Windows, Linux",English
UncovAI,"UncovAI introduces an innovative platform for detecting Generative AI text, offering a blend of efficiency and sustainability. Instead of relying on resource-intensive Deep Learning models, we employ a mathematical hypothesis that effectively distinguishes between AI-generated...",Free,Proprietary,N/A,N/A,"Online, Software as a Service (SaaS), Google Chrome, Firefox",English
SwapMyFace,"SwapMyFace is a modern and very simple app to swap your face into any picture. It has the ability to upscale the swapped images. It also comes with the commodity of a chrome extension, which simplified a lot the process of swapping faces, specially if you are using it with... Applicationsoftware reviews",Freemium (Pay once),Proprietary,Face Swap,United States,"Online, Software as a Service (SaaS)",English
Swapr - AI Face Swap,"Swapr is a revolutionary face swapping software based on AI technology. Unlike other traditional face swapping apps, Swapr is trained on large models, which allows for more realistic face swapping effects.",Freemium (Pay once),Proprietary,N/A,N/A,"Mac, iPhone, iPad","English, Chinese"
GoodByEmail,"GoodByEmail is a privacy-first email inbox cleaner that helps you declutter your inbox without giving third-party access to your emails.




No OAuth tokens, no invasive permissions. Reclaim GBs of storage, unsubscribe from pesky emails—your emails never leave your device. Even works offline.",Pay once,Proprietary,N/A,N/A,"Mac, Windows",English
Magnimetrics,"A Cloud-based FP&A platform for SMEs, Startups, and Solopreneurs that allows you to quickly translate your financial data into meaningful insights.",Subscription,Proprietary,Business Intelligence Tool,United States,Online,English
SlickGPT,"SlickGPT is a new lightweight web client for the OpenAI API, with a strong focus on GPT-4 integration. Built entirely in Vue.js, it provides a modern, Slack-like interface for chatting with AI.",Free,Proprietary,N/A,N/A,Software as a Service (SaaS),English
ChatPC,"Use simple English to automate your Mac, from managing files to interacting with other Mac applications through Shortcuts and AppleScripts. MacOS",Freemium (Subscription),Proprietary,Workflow Automation Tool,N/A,Mac,English
Audile,"Open-source Android app using AudD and ACRCloud to recognize music, providing complete track details including artwork, lyrics, platform links, and storing results in a searchable library, supporting offline operation, quick access, and customizable settings. MobileApps & Add-Ons",Free,Open Source ( GPL-3.0 ),Music Recognition App,N/A,"Android, F-Droid",English
Oinkoin,Oinkoin Money Manager makes managing personal finances easy and secure. It is light and easy to use. You need just few taps to keep track of your expenses. Simplicity and Security are our two main drivers: Oinkoin is an offline and ad-free app. Software,Freemium (Pay once),Open Source ( GPL-3.0 ),"Budget Manager, Personal Finance Tool","Austria, EU","Android, F-Droid",English
SilverDict,"This project is intended to be a modern, from-the-ground-up, maintainable alternative to GoldenDict(-ng), developed with Flask and React. OpenSource",Free,Open Source ( GPL-3.0 ),Dictionary,N/A,"Self-Hosted, Android, F-Droid",English
Prav,A user-friendly messenger for everyone with a focus on privacy and freedom.,Free,Open Source,"Instant Messenger, Video Calling App",N/A,"Android, F-Droid",English
OpenSign,"Open-source PDF e-signature solution featuring secure cryptographic signing, detailed audit trails with IP tracking, completion certificates, robust API, multi-device support, privacy-first team collaboration, and seamless document organization via dedicated drive functionality.",Freemium (Pay once),Open Source,E-signature Tool,United States,"Self-Hosted, Software as a Service (SaaS)",English
NanoLedger,NanoLedger is a data entry app for plain text accounting. It supports the ledger and hledger syntax. Mobileapp discovery,Free,Open Source ( MIT ),N/A,N/A,"Android, F-Droid",English
OneSplit,OneSplit makes splitting bills a breeze. Whether you're at a restaurant or on a trip with friends - our app takes care of the math for you. Software,Free,Proprietary,Personal Finance Tool,N/A,"Android, iPhone, Android Tablet, iPad",English
ReadUpNext,"ReadUpNext.com, formerly YourNextRead.com, is an AI-driven book recommendation site. It uses advanced algorithms to offer book suggestions, including picks from influential figures and curated reading lists.",Free,Proprietary,N/A,N/A,Online,English
RustRover,"Enjoy full support when running your code inside the Rust IDE, be it for testing purposes, debugging, benchmarking, profiling, or targeting different platforms.",Free Personal,Proprietary,IDE,"Czechia, EU","Mac, Windows, Linux, Flathub, Flatpak",English
Gauguin,"Gauguin is a Sudoku-like game where you solve grids via calculation and logic.




You can use it to relax or to solve difficult grids to your opinion.




In classic mode, you solve a 9x9 grid by typing a value from 1 to 9 in each cell such as





Each row and column contains each digit.",Free,Open Source ( GPL-3.0 ),Puzzle Game,N/A,"Android, F-Droid, Android Tablet",English
FocuSee,"A screen recorder comes with automated editing. Automatically track cursor movement, apply dynamic zoom and click effects, add a pleasant background, and generate a professional-looking video/gif that is ready to use.",Pay once or Subscription,Proprietary,"Screen Recorder, Screenshot Capture Tool",China,"Mac, Windows",English
LookAway,"macOS utility that schedules and enforces customizable eye-rest breaks by blurring screens, displaying timed counters, offering flexible intervals and durations, pre-break alerts, intelligent meeting-awareness, unobtrusive design, and menu bar access for user control. MacOS",Pay once,Proprietary,"Prevent RSI App, Health Tool",India,"Mac, iPhone",English
Doran,"Managing all the platforms for customer engagement and changelog is a lot of work for companies, especially SMEs that don’t have enough human resources.",Free,Proprietary,Customer Feedback Manager,N/A,Online,English
TalkEze,"Speak smoothly and confidently like never before with TalkEze. Customize your text, scroll speed, and talking pace. Ensure that your videos reflect your true confidence and mastery of the subject matter.",Freemium (Pay once or Subscription),Proprietary,Teleprompter,China,Windows,English
ZenBreak,"Menu bar application for Windows, macOS, and Linux designed to gently remind users to take breaks from their screen with customizable timing and appearance. Built natively for each OS, lightweight, open-source, and privacy-friendly with minimal impact on resources.",Free,Open Source ( GPL-3.0 ),N/A,"Italy, EU","Mac, Windows, Linux",English
Fretboard,"Fretboard lets you find guitar chords by typing their names or plotting them on an interactive guitar neck. When you have identified a chord, you can experiment with changing it, see more ways to play it, or bookmark it to save it for later.",Free,Open Source ( GPL-3.0 ),N/A,Norway,"Linux, Linux Mobile, Flathub, GNOME","English, Belarusian, Catalan; Valencian, Czech, German, Spanish, Basque, Finnish, French, Hebrew, Hindi, Hungarian, Italian, Japanese, Norwegian Bokmål, Dutch, Portuguese, Russian, Swedish, Turkish, Ukrainian, Chinese, ▾"
ReFra gallery,ReFra is an open source Android Gallery app built with Material 3 and Jetpack Compose. Mobileapp discovery,Free,Open Source ( Apache-2.0 ),"Photo Manager, Image Viewer","Romania, EU","Android, F-Droid","English, German, Chinese, Czech, French, Indonesian, Italian, Lithuanian, Japanese, Polish, Russian, Portuguese, Turkish, Ukrainian"
Vibe You,Vibe You (formerly MellowMusic) is a music app that lets you play music from your device storage and Piped Music.,Free,Open Source ( GPL-3.0 ),Audio Player,"Finland, EU","Android, F-Droid",English
Puzzmo,"Puzzmo is a platform dedicated to puzzles, offering a mix of traditional crossword puzzles, modern classics like Typeshift, and original puzzles, with access granted to a limited number of users daily.",Free,Proprietary,Puzzle Game,United States,Online,English
Xiaomi HyperOS,"Xiaomi HyperOS is a proprietary operating system developed by Xiaomi. It's designed to provide an enhanced user experience through its unique features and functionalities. The system integrates seamlessly with Xiaomi's wide range of devices, creating a unified and...",Free,Proprietary,"Mobile OS, Operating System",China,Android,English
Kyugo,Kyugo is a time-assistant software that integrates with your Google Calendar to automate event planning and promote work-life balance. Software,Freemium,Proprietary,Habit Tracker,N/A,"iPhone, iPad, Android",English
Steddy,"Steddy is a beautiful exercise planner with no extra frills. Create a plan for your next week within minutes, log any activity in a single tap, and track your complete activity history with beautiful charts and trends.",Freemium,Proprietary,N/A,United States,"iPhone, iPad",English
Tidby,"Tidby is an AI-enhanced news reader app that provides personalized, bite-sized news summaries, and offers features such as article engagement, a personal news library, and user-controlled news focus. Applicationsoftware reviews",Freemium (Subscription),Proprietary,"RSS Reader, News Reader",United States,"iPhone, iPad",English
ArtistAssistApp,"ArtistAssistApp is a web app for artists to accurately mix any color from a photo, analyze tonal values, turn a photo into an outline, draw with the grid method, paint with a limited palette, simplify a photo, compare photos pairwise, and more.",Freemium (Subscription),Open Source ( AGPL-3.0 ),"Digital Painting Tool, Color Picker Tool",N/A,Online  ,English
Polyfire,Polyfire's goal is to make it possible to code every AI tool/Chatbot you could want in only a couple of lines of code in the frontend without the need for complex abstractions and having to deploy anything.,Free,Open Source,N/A,United States,"Self-Hosted, npm",English
OpenAPI Devtools,Effortlessly discover API behaviour with a Chrome extension that automatically generates OpenAPI specifications in real time for any app or website. Software,Free,Open Source ( MIT ),N/A,N/A,Google Chrome,English
Remagine AI,Remagine AI is a content writer tool equipped with hundreds of templates and tools to generate best quality marketing content within seconds.,Freemium (Subscription),Proprietary,"AI Writing Tool, AI Chatbot",N/A,Online,English
Roadmap Game,"Roadmap Game is a software application designed to assist individuals in managing and overcoming social anxiety. The software operates on a gamified system, where users can accumulate miles by performing actions that require courage.",Free,Proprietary,N/A,N/A,iPhone,English
Family - Crypto Wallet,"Family is a self-custodial iOS app for managing Ethereum, enabling interaction with crypto assets, sharing wallet addresses via QR codes, trading tokens with a decentralized swap function, and accessing decentralized apps through WalletConnect.",Free,Proprietary,Crypto Wallet,N/A,iPhone  ,English
Cacophony,"Cacophony is a minimalist and ergonomic MIDI sequencer. It's minimalist in that it doesn't have a lot of functionality MIDI sequencers have. It's ergonomic in that there is no mouse input and a very clean interface, allowing you to juggle less inputs and avoid...",Free,Open Source ( MIT ),"Music Production App, Audio Editor",Canada,"Windows, Mac, Linux, itch.io",English
Notify,Versatile GTK4 client designed to seamlessly interface with the ntfy notification service.,Free,Open Source ( GPL-3.0 ),N/A,N/A,"Linux, Flathub",English
Outlook for Linux,Unofficial Microsoft Outlook client for Linux using Electron. It uses the Web App and wraps it as a standalone application using Electron. Linux& Unix,Free,Open Source ( GPL-3.0 ),N/A,N/A,"Linux, Flathub, Snapcraft",English
Writerside,The most powerful development environment – now adapted for writing documentation.,Free,Proprietary,Documentation Generator,"Czechia, EU",IntelliJ IDEA  ,English
Ghost Bookmarker,"Use Ghost Bookmarker to easily add links and notes to a post, straight from your browser. WebBrowsers",Free,Proprietary,N/A,United States,"Google Chrome, Ghost",English
Jogger,"Jogger is a mobile Linux-based application that allows users to monitor and record a variety of physical activities such as running, walking, cycling, swimming, and other workouts. It utilizes Geoclue location tracking to record workout sessions, providing detailed data on the... Software",Free,Open Source,"Run Tracker, Fitness Tracker",N/A,"Linux Mobile, GNOME, Flathub",English
Score Tracker,"Score Tracker is a software application designed to monitor and record player scores in various turn-based games including card and board games. This tool offers the capability to handle an unlimited number of players and turns, providing flexibility and adaptability for a wide... Software",Free,Open Source ( MIT ),N/A,N/A,"Linux, Flathub",English
LegalNow,"LegalNow is an AI-powered legal assistant that offers contract drafting, review, and management for small businesses in a cost-effective and user-friendly manner.",Free,Proprietary,N/A,N/A,Online,English
Universe,"Universe is a visual, no-code website builder that you can use from any device. Drag and drop blocks to construct your pages on your phone, tablet, or computer.",Freemium (Subscription),Proprietary,Website Builder,N/A,"Mac, Online, iPhone, iPad",English
LocalPilot,Use GitHub Copilot locally on your Macbook with one-click.,Free,Open Source ( MIT ),AI Coding Assistant,N/A,"Mac, Visual Studio Code",English
3D to Photo,"3D to Photo is an open-source package by Dabble, that combines Three.js and Stable Diffusion to build a virtual photo studio for product photography.",Free,Open Source ( MIT ),"AI Image Generator, AI Image Editor",N/A,Self-Hosted,English
autotab,Welcome to autotab! autotab makes it easy to create auditable browser automations using AI. Go from a point & click demonstration in the browser to live code for those actions in seconds. WebBrowsers,Free,Open Source ( MIT ),N/A,N/A,"Google Chrome, Linux, Mac, Windows",English
Scrupp,"Chrome extension for LinkedIn and Sales Navigator that extracts profile, company, and job details, finds and verifies emails, allows scraping up to 2500 profiles per session, enables advanced filtering, and enriches leads for efficient B2B outreach and marketing.",Subscription,Proprietary,N/A,United Kingdom,"Online, Google Chrome, Software as a Service (SaaS)",English
Hosting Checker,Find out who hosts any website and where it is hosted.,Free,Proprietary,N/A,N/A,"Online, Google Chrome, Mozilla Firefox",English
AntiiQ,AntiiQ is an offline Android music player with some opinionated features and a distinctive User Interface designed for both ease of navigation and customization.,Free,Open Source,Audio Player,N/A,"Android, F-Droid",English
Me Calendar,"Me Calendar is a user-friendly calendar app equipped with widget support. Seamlessly integrate with Google Calendar, Microsoft 365, Outlook.com, iCloud, CalDAV, and WebCAL. Software",Freemium (Pay once or Subscription),Proprietary,Calendar App,United Kingdom,Windows,"English, Korean, Chinese, Spanish, Portuguese, French, German, Vietnamese, Swedish, Norwegian, Russian, Turkish"
Taja AI,"AI-powered software streamlines YouTube content optimization with instant SEO-driven titles, descriptions, chapters, and tags, offers Live Preview for titles, and saves users an average of 43 minutes per upload, helping improve discoverability and channel growth.",Subscription,Proprietary,N/A,United States,Online,"English, Spanish, German, French, Italian, Hindi"
Roomy,"This tool is designed specifically for developers, ensuring that your workspace remains clean and efficient. From sweeping away outdated Xcode files to managing Docker containers and tidying up JavaScript dependencies, Roomy handles it all.",Free,Proprietary,System Cleaner,N/A,Mac,English
MarkFlowy,"Modern markdown editor application, Build fast and efficient workflows. Applicationsoftware reviews",Free,Open Source ( AGPL-3.0 ),Note-taking Tool,N/A,"Mac, Windows, Linux",English
